procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 5033768  52620 1249612    0    0     0     0    5    1 19  7 73  1  0	
 2  0      0 5031012  52620 1249628    0    0     0     0 11330 20889 40 16 44  0  0	
 2  0      0 5031284  52620 1249636    0    0     0     9 11395 20404 36 12 51  0  0	
 4  0      0 5031060  52620 1249648    0    0     0     2 11282 20765 39 15 45  0  0	
 1  0      0 5030068  52620 1249656    0    0     0     2 11565 21091 36 12 50  2  0	
 7  0      0 5031044  52620 1249664    0    0     0     2 10798 20383 37 14 49  0  0	
 6  0      0 5031160  52620 1249672    0    0     0     2 11639 20950 38 15 45  2  0	
 1  0      0 5031100  52620 1249692    0    0     0    18 11520 20372 36 13 51  0  0	
 1  0      0 5031404  52620 1249700    0    0     0     8 11212 19851 37 12 51  0  0	
 1  0      0 5031412  52620 1249708    0    0     0     4 11347 20107 36 12 52  0  0	
 0  1      0 5031536  52620 1249716    0    0     0     5 12102 20070 36 13 49  2  0	
 0  0      0 5031164  52620 1249728    0    0     0     5 10898 19807 36 12 51  0  0	
 5  0      0 5031420  52620 1249732    0    0     0     5 11176 19812 36 11 52  0  0	
 3  0      0 5031420  52620 1249748    0    0     0    16 11871 20663 39 15 45  0  0	
 3  0      0 5031084  52620 1249756    0    0     0     4 11097 20857 40 15 45  0  0	
 2  0      0 5031084  52620 1249764    0    0     0     0 10929 19942 35 12 51  2  0	
 1  0      0 5031240  52620 1249752    0    0     0     7 12135 20846 38 15 47  0  0	
 2  0      0 5031032  52620 1249760    0    0     0     4 11010 19933 36 12 49  2  0	
 2  0      0 5031280  52620 1249768    0    0     0     5 11028 19725 35 12 53  0  0	
 2  0      0 5031156  52620 1249788    0    0     0    17 11870 20677 37 14 47  2  0	
 1  0      0 5031536  52620 1249796    0    0     0     6 11095 19709 37 12 51  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 5030916  52620 1249808    0    0     0     0 10968 20425 36 13 50  1  0	
 3  0      0 5031016  52620 1249816    0    0     0     5 11807 20049 39 13 48  0  0	
 4  0      0 5030900  52620 1249828    0    0     0     6 11029 20103 36 13 51  0  0	
 0  0      0 5031164  52620 1249832    0    0     0     5 11258 20043 36 12 52  0  0	
 0  0      0 5031396  52620 1249840    0    0     0    17 11737 20121 37 15 46  2  0	
 0  0      0 5030900  52620 1249848    0    0     0     4 11034 19560 37 12 52  0  0	
 0  0      0 5031032  52620 1249860    0    0     0     2 11214 20271 37 12 51  0  0	
 4  0      0 5031032  52620 1249864    0    0     0     6 11819 20458 38 14 47  1  0	
 3  0      0 5030232  52620 1249876    0    0     0     4 11092 20462 39 13 48  0  0	
 2  0      0 5030688  52620 1249888    0    0     0     7 10900 20599 38 14 46  2  0	
 1  0      0 5030852  52620 1249880    0    0     0    13 11721 20162 37 14 50  0  0	
 5  0      0 5030736  52620 1249892    0    0     0     7 11193 20190 38 12 49  1  0	
 2  0      0 5031148  52620 1249900    0    0     0     5 11132 20525 37 12 51  0  0	
 2  0      0 5031024  52620 1249908    0    0     0     4 11894 19925 38 14 47  1  0	
 8  1      0 5030900  52620 1249916    0    0     0     4 11337 20351 36 13 51  0  0	
 1  0      0 5031280  52620 1249928    0    0     0     1 11094 19609 36 12 51  1  0	
 3  0      0 5031240  52620 1249936    0    0     0    14 11435 19975 37 15 47  0  0	
 3  0      0 5030760  52620 1249940    0    0     0     7 11120 19780 36 12 52  0  0	
 2  0      0 5030884  52620 1249956    0    0     0     3 10927 20651 37 12 51  0  0	
 0  0      0 5031132  52620 1249960    0    0     0     6 11672 19942 37 13 48  2  0	
 3  0      0 5030884  52620 1249968    0    0     0     5 11252 20221 35 12 52  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5030892  52620 1249976    0    0     0     4 11312 19774 37 11 53  0  0	
 4  1      0 5030776  52620 1249992    0    0     0    14 11819 20410 38 14 47  1  0	
 2  0      0 5031148  52620 1249996    0    0     0     3 11055 19685 37 12 51  0  0	
 1  0      0 5030516  52620 1250004    0    0     0     3 11068 21199 41 16 43  0  0	
 0  0      0 5030704  52620 1250012    0    0     0     4 11547 19929 37 13 49  0  0	
 4  0      0 5030464  52620 1250008    0    0     0     3 11049 20492 37 13 49  1  0	
 0  0      0 5030892  52620 1250016    0    0     0     6 11338 20250 36 12 52  0  0	
 0  0      0 5031140  52620 1250024    0    0     0    17 11933 21097 40 15 45  0  0	
 5  0      0 5030768  52620 1250028    0    0     0     4 11363 19866 35 12 53  0  0	
 1  0      0 5030900  52620 1250040    0    0     0     2 11308 20206 37 13 48  2  0	
 1  0      0 5030776  52620 1250052    0    0     0     4 11365 19153 35 13 52  0  0	
 2  0      0 5030528  52620 1250060    0    0     0     6 10818 19474 36 13 49  2  0	
 2  0      0 5031024  52624 1250064    0    0     0     7 11169 20199 37 12 51  0  0	
 0  0      0 5030660  52624 1250088    0    0     0    16 11174 19870 37 14 48  1  0	
 0  0      0 5030784  52624 1250096    0    0     0     4 11125 20138 36 12 52  0  0	
 5  1      0 5030784  52624 1250104    0    0     0     5 11335 20613 37 12 49  1  0	
 0  0      0 5030884  52624 1250112    0    0     0     7 11857 20765 37 14 48  1  0	
 2  0      0 5030520  52624 1250120    0    0     0     5 11402 20240 37 13 50  0  0	
 6  0      0 5030168  52624 1250128    0    0     0     1 11125 19533 38 15 47  0  0	
 2  0      0 5030952  52624 1250136    0    0     0    15 11447 20908 38 16 46  0  0	
 2  0      0 5028224  52624 1250128    0    0     0    10 11023 20466 36 12 51  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 5030496  52624 1250136    0    0     0     5 10853 19788 36 12 52  0  0	
