procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 150736 5076728 1068980    0    0    26     4    2    7 27  6 66  1  0	
 1  0      0 147656 5076984 1069024    0    0    51     0 7961 20178 39 12 49  0  0	
 1  0      0 148292 5077248 1069036    0    0    51     7 8669 20684 37  9 54  0  0	
 0  0      0 147548 5077512 1069044    0    0    51     2 8427 21331 38 11 51  0  0	
 0  0      0 147096 5077776 1069056    0    0    51     2 8272 20951 41 11 48  0  0	
 1  0      0 146832 5078040 1069064    0    0    51     2 8518 21352 40 12 48  0  0	
 1  0      0 146088 5078304 1069068    0    0    51     2 8345 21088 38 10 51  1  0	
 6  0      0 145964 5078568 1069064    0    0    51    17 7784 20511 37  9 54  0  0	
 1  0      0 146096 5078832 1069064    0    0    51    11 8459 20999 38 10 52  0  0	
 4  0      0 142552 5079088 1069080    0    0    51     0 8300 20573 38 10 51  0  0	
 1  1      0 145260 5079352 1069092    0    0    51     6 8142 21457 39  8 50  3  0	
 2  0      0 142276 5079616 1069104    0    0    51     4 8351 21412 38 11 50  1  0	
 1  0      0 144640 5079880 1069112    0    0    51     5 8366 19922 36  8 55  0  0	
 3  0      0 145120 5080144 1069128    0    0    51    15 7933 20437 38 10 51  1  0	
 0  0      0 145036 5080408 1069148    0    0    51     6 7786 20088 36  8 56  0  0	
 0  0      0 143952 5080672 1069152    0    0    51    10 8322 19993 37 10 53  0  0	
 3  0      0 143604 5080936 1069164    0    0    51     5 7648 19650 35  7 57  0  0	
 0  0      0 143488 5081200 1069172    0    0    51     5 7924 20955 37  8 53  2  0	
 1  0      0 143248 5081464 1069180    0    0    51     4 8562 20830 38  9 53  0  0	
 0  0      0 143000 5081728 1069188    0    0    51    16 7942 20407 37  8 55  0  0	
 1  0      0 142416 5081992 1069204    0    0    51     8 7948 19651 38 11 51  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 142736 5082248 1069208    0    0    51     4 8522 20055 37 10 51  2  0	
 3  0      0 142480 5082512 1069200    0    0    51     4 7739 19951 36  8 56  0  0	
 0  0      0 142132 5082776 1069212    0    0    51     4 7693 20055 36  8 54  2  0	
 0  0      0 142132 5083040 1069220    0    0    51     5 8572 20036 38 10 52  0  0	
 1  1      0 141752 5083304 1069228    0    0    51    14 8243 21433 38 10 52  0  0	
 1  0      0 141520 5083568 1069248    0    0    51     7 7933 20663 39  8 52  2  0	
 0  0      0 140900 5083832 1069256    0    0    51     5 8788 19833 36 10 53  0  0	
 1  0      0 140380 5084096 1069268    0    0    51     6 7920 20952 38  8 52  1  0	
 3  0      0 140016 5084368 1069260    0    0    51     7 7886 20329 34  8 58  0  0	
 2  0      0 140132 5084624 1069284    0    0    51     2 8534 19847 35  9 56  0  0	
 0  0      0 139768 5084888 1069288    0    0    51    14 7962 20623 37  8 54  0  0	
 0  0      0 140016 5085152 1069300    0    0    51     6 7610 19630 35  8 55  2  0	
 5  0      0 139156 5085416 1069308    0    0    51     5 8650 20481 37 10 52  0  0	
 1  0      0 139156 5085680 1069312    0    0    51     3 7684 20055 37  8 55  0  0	
 6  0      0 138460 5085944 1069328    0    0    51     4 8039 20521 38 12 50  0  0	
 1  0      0 138136 5086208 1069336    0    0    51     5 8488 20127 37 10 51  2  0	
