procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 5041200  52272 1244448    0    0     0     0    5    1 19  8 73  1  0	
 3  0      0 5036888  52272 1244492    0    0     0     0 11725 20563 38 17 45  0  0	
 8  1      0 5037056  52272 1244496    0    0     0     8 11498 20118 36 13 51  0  0	
 1  0      0 5038584  52272 1244504    0    0     0     2 11294 20967 38 15 47  0  0	
 3  0      0 5038724  52272 1244512    0    0     0     2 11638 20203 36 14 50  0  0	
 6  0      0 5038624  52272 1244516    0    0     0     2 11399 21073 39 14 45  2  0	
 3  0      0 5038572  52272 1244536    0    0     0     2 11204 20237 37 13 51  0  0	
 0  0      0 5038820  52272 1244548    0    0     0    18 11569 20479 35 14 50  1  0	
 4  0      0 5038704  52272 1244556    0    0     0     6 11540 20450 36 12 52  0  0	
 0  0      0 5038612  52272 1244560    0    0     0     4 11344 20374 38 13 46  3  0	
 4  0      0 5038628  52272 1244572    0    0     0     5 11956 19950 37 15 47  1  0	
 5  0      0 5038744  52272 1244580    0    0     0     5 11291 20072 36 13 50  1  0	
 3  0      0 5038480  52272 1244588    0    0     0     4 11073 20006 37 12 50  1  0	
 0  0      0 5038700  52272 1244604    0    0     0    17 11615 20636 40 20 38  2  0	
 3  0      0 5038600  52272 1244592    0    0     0     0 11287 20053 35 12 53  0  0	
 3  0      0 5038300  52272 1244596    0    0     0     4 11197 20847 37 13 48  2  0	
 5  0      0 5038308  52272 1244604    0    0     0     7 11713 20342 36 14 49  1  0	
 0  1      0 5038720  52272 1244612    0    0     0     5 11503 20197 34 12 51  3  0	
 2  0      0 5038472  52272 1244636    0    0     0     5 11314 19767 36 12 51  1  0	
 3  0      0 5038348  52272 1244644    0    0     0    15 11165 19631 35 15 50  1  0	
 2  0      0 5038588  52272 1244656    0    0     0     6 11449 20418 36 12 49  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 5038348  52272 1244664    0    0     0     5 11038 20656 37 12 50  1  0	
15  0      0 5020548  52272 1244672    0    0     0     0 11127 20345 36 12 51  0  0	
 3  0      0 5038364  52272 1244684    0    0     0     4 11776 20042 35 15 50  0  0	
 3  0      0 5038224  52272 1244692    0    0     0     7 11128 19783 37 12 48  3  0	
 2  0      0 5038604  52272 1244700    0    0     0    15 11067 19984 36 13 51  1  0	
 0  0      0 5038108  52272 1244712    0    0     0     5 11991 19966 36 14 49  2  0	
 3  0      0 5035496  52272 1244716    0    0     0     6 11108 20150 36 12 51  1  0	
 3  0      0 5038452  52272 1244720    0    0     0     0 10956 19782 38 15 46  1  0	
 0  0      0 5038500  52272 1244732    0    0     0     4 11923 20740 38 16 45  1  0	
 1  0      0 5038268  52272 1244724    0    0     0     5 11125 20439 37 13 48  2  0	
15  0      0 5038324  52272 1244736    0    0     0    12 11060 20546 38 13 48  1  0	
 0  0      0 5038588  52272 1244744    0    0     0     9 12002 20382 36 14 48  2  0	
 3  0      0 5038464  52272 1244752    0    0     0     6 11357 20227 37 12 50  1  0	
 1  0      0 5038240  52272 1244756    0    0     0     4 11527 20478 36 13 50  1  0	
 3  0      0 5038736  52272 1244768    0    0     0     5 11668 19983 37 14 45  3  0	
 1  0      0 5038736  52272 1244780    0    0     0     5 10902 20182 37 12 50  1  0	
 3  0      0 5038852  52272 1244792    0    0     0     9 11052 20293 36 14 50  0  0	
 1  0      0 5038612  52272 1244796    0    0     0     6 11821 19515 35 14 48  2  0	
 1  0      0 5038612  52272 1244808    0    0     0     3 11197 20859 36 13 48  3  0	
 1  0      0 5038612  52272 1244812    0    0     0     5 11032 19874 36 13 50  1  0	
 0  0      0 5038612  52272 1244820    0    0     0     6 11789 19904 36 15 46  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5038612  52272 1244832    0    0     0     6 11185 19708 36 12 52  1  0	
 3  0      0 5035212  52272 1244852    0    0     0    12 11226 19864 39 15 45  1  0	
 1  0      0 5037940  52272 1244852    0    0     0     6 11750 20211 38 16 45  1  0	
 4  0      0 5038228  52272 1244840    0    0     0     4 10908 19834 35 12 50  3  0	
 0  0      0 5038028  52272 1244848    0    0     0     1 10993 19662 36 12 52  0  0	
 0  0      0 5038580  52272 1244856    0    0     0     4 11718 19983 35 15 48  1  0	
 0  0      0 5038356  52272 1244868    0    0     0     5 11450 19816 37 12 51  1  0	
 1  0      0 5038588  52272 1244876    0    0     0    15 11369 20456 36 14 49  1  0	
