procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 4728884  50192 1669528    0    0     0     1    7   17 27 10 62  1  0	
 3  0      0 4726780  50192 1669560    0    0     0     0 11380 20283 36 14 49  0  0	
 1  0      0 4726152  50192 1669568    0    0     0     9 11240 20902 40 14 45  1  0	
 0  0      0 4726700  50192 1669580    0    0     0     2 11319 20320 39 18 42  0  0	
 4  0      0 4726460  50192 1669588    0    0     0     3 11179 20111 35 12 53  0  0	
 4  0      0 4726204  50192 1669576    0    0     0     3 11120 20990 38 14 47  1  0	
 4  0      0 4726104  50196 1669584    0    0     0     2 11566 19753 37 15 49  0  0	
 1  0      0 4726500  50196 1669592    0    0     0    19 11557 20914 37 13 47  2  0	
 0  0      0 4726244  50196 1669604    0    0     0     8 11163 20272 37 13 50  0  0	
 2  0      0 4726252  50196 1669612    0    0     0     5 11435 19929 35 15 47  3  0	
 0  0      0 4726452  50196 1669624    0    0     0     6 11546 20734 38 14 48  1  0	
 8  0      0 4726080  50196 1669632    0    0     0     6 11134 20576 37 14 46  2  0	
 0  0      0 4726160  50196 1669652    0    0     0     4 11562 19899 38 14 48  1  0	
 1  0      0 4726424  50196 1669664    0    0     0    17 11553 21288 36 14 50  0  0	
 1  0      0 4726580  50196 1669676    0    0     0     0 11010 20362 36 12 51  0  0	
 2  0      0 4726340  50196 1669680    0    0     0     5 11810 20277 36 15 46  3  0	
 3  0      0 4726620  50196 1669688    0    0     0     9 11304 19359 35 12 51  1  0	
 5  0      0 4726380  50196 1669696    0    0     0     4 11230 19962 37 13 50  1  0	
 4  0      0 4726780  50196 1669716    0    0     0     6 11370 20410 39 18 42  1  0	
 2  0      0 4726596  50196 1669716    0    0     0    13 11310 20177 36 12 51  1  0	
 4  0      0 4726340  50196 1669724    0    0     0     7 10999 19968 36 12 49  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 4725960  50196 1669712    0    0     0     7 11550 21213 37 15 47  1  0	
 1  0      0 4726372  50196 1669720    0    0     0     4 11206 19778 35 12 51  2  0	
 1  0      0 4726496  50196 1669732    0    0     0     0 11267 19902 37 13 50  0  0	
 0  0      0 4726380  50196 1669748    0    0     0     9 11166 20191 36 13 48  4  0	
 0  0      0 4726504  50196 1669756    0    0     0    14 11800 20462 35 15 49  0  0	
 0  0      0 4726512  50196 1669768    0    0     0     7 11163 19577 35 12 50  3  0	
 2  0      0 4726372  50196 1669776    0    0     0     7 11332 20715 36 14 49  1  0	
 2  0      0 4726272  50196 1669780    0    0     0     4 11645 20194 37 14 47  1  0	
 2  0      0 4726404  50196 1669792    0    0     0     0 10946 20497 35 13 52  0  0	
 2  0      0 4726412  50196 1669796    0    0     0     6 11029 19903 35 12 50  2  0	
 1  0      0 4726280  50196 1669804    0    0     0    14 11628 20013 35 14 50  1  0	
 3  0      0 4726288  50196 1669816    0    0     0     8 11068 19685 35 11 52  1  0	
 1  0      0 4725528  50196 1669824    0    0     0     6 11199 20531 37 13 49  1  0	
 2  0      0 4726104  50196 1669832    0    0     0     4 11807 21477 42 18 40  0  0	
 1  0      0 4726284  50196 1669844    0    0     0     0 11065 20519 36 12 50  2  0	
 2  0      0 4726200  50196 1669848    0    0     0     6 11123 20118 38 14 48  1  0	
 0  0      0 4726464  50196 1669856    0    0     0    13 11410 20034 37 15 46  2  0	
 1  0      0 4726488  50196 1669864    0    0     0    10 10951 19608 35 12 51  2  0	
 0  0      0 4726620  50196 1669876    0    0     0     3 11337 20116 36 12 51  1  0	
 0  0      0 4726248  50196 1669880    0    0     0     5 11744 19348 35 14 50  1  0	
 2  0      0 4726272  50196 1669888    0    0     0     7 11501 20190 36 12 49  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4726404  50196 1669896    0    0     0     4 11176 20131 35 13 51  1  0	
 4  0      0 4726528  50196 1669904    0    0     0     9 11710 20710 38 15 47  0  0	
 2  0      0 4726544  50196 1669916    0    0     0     8 10945 19647 36 12 51  2  0	
 2  0      0 4726288  50196 1669924    0    0     0     6 11133 20225 37 13 47  3  0	
 1  0      0 4726412  50196 1669932    0    0     0     5 11507 19196 35 14 51  1  0	
 2  0      0 4726412  50200 1669940    0    0     0     6 11260 20115 35 12 51  2  0	
 1  0      0 4726040  50200 1669952    0    0     0     7 11074 19367 36 12 51  1  0	
 1  0      0 4726252  50200 1669960    0    0     0    18 11481 20823 40 20 39  1  0	
 0  0      0 4726316  50200 1669968    0    0     0     6 11130 19891 37 12 49  2  0	
 2  0      0 4726200  50200 1669956    0    0     0     6 11126 21070 36 13 49  1  0	
