procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 5023216  52272 1244416    0    0     0     0    5    2 19  7 73  1  0	
 2  0      0 4979432  52272 1244452    0    0     0     0 11275 20454 39 16 45  0  0	
 1  0      0 5021160  52272 1244456    0    0     0     8 11530 19762 36 13 51  0  0	
 0  0      0 5021200  52272 1244468    0    0     0     2 11124 20805 38 15 47  0  0	
 6  0      0 5021448  52272 1244488    0    0     0     2 11183 20064 36 11 52  0  0	
 5  0      0 5021388  52272 1244496    0    0     0     2 11775 20827 38 15 47  0  0	
 0  0      0 5021180  52272 1244504    0    0     0     2 10967 20217 37 12 49  2  0	
 7  0      0 5021552  52272 1244516    0    0     0    18 11216 20570 36 12 52  0  0	
 1  0      0 5021304  52272 1244520    0    0     0    11 12044 20280 37 13 49  0  0	
 3  0      0 5021304  52272 1244524    0    0     0     0 10914 20001 35 13 53  0  0	
 0  0      0 5021304  52272 1244536    0    0     0     5 11110 19850 36 11 49  4  0	
 1  0      0 5020896  52272 1244548    0    0     0     4 11326 19994 40 17 43  0  0	
 2  0      0 5021044  52272 1244552    0    0     0     5 11336 20620 37 12 49  1  0	
 2  0      0 5021076  52272 1244544    0    0     0    14 10967 19939 37 14 49  0  0	
 0  0      0 5021216  52272 1244552    0    0     0     6 11450 19086 35 13 53  0  0	
 4  0      0 5021356  52272 1244556    0    0     0     7 11116 20179 36 12 51  0  0	
 1  0      0 5021488  52272 1244576    0    0     0     4 11276 20382 38 12 48  2  0	
 1  0      0 5021248  52272 1244584    0    0     0     5 11860 20205 37 13 50  0  0	
 0  0      0 5021132  52272 1244600    0    0     0     0 11115 20016 37 12 51  0  0	
 0  0      0 5021356  52272 1244608    0    0     0    14 11271 21419 37 13 50  0  0	
 0  0      0 5021372  52272 1244620    0    0     0     7 11675 19497 35 13 52  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
