procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4481224  52384 1730676    0    0     0     1    8    6 33 14 53  1  0	
 3  0      0 4478172  52384 1730712    0    0     0    11 13074 23139 44 24 31  1  0	
 9  0      0 4478240  52384 1730724    0    0     0    12 12684 23115 42 17 40  1  0	
 0  0      0 4478132  52384 1730732    0    0     0     3 12741 22520 40 18 41  1  0	
 0  0      0 4478256  52384 1730740    0    0     0     0 13537 22883 41 18 41  0  0	
 2  0      0 4478264  52384 1730744    0    0     0     3 12886 23028 42 17 38  2  0	
 1  0      0 4478140  52384 1730756    0    0     0     4 12593 22112 38 16 46  0  0	
 3  0      0 4478248  52384 1730768    0    0     0    20 13379 22643 41 20 39  0  0	
 2  0      0 4478000  52384 1730776    0    0     0     9 12999 23183 42 18 38  1  0	
 5  0      0 4478024  52384 1730780    0    0     0    10 12589 22829 41 16 41  2  0	
 3  0      0 4478396  52384 1730792    0    0     0     5 13073 22559 42 18 40  1  0	
 8  0      0 4478452  52384 1730800    0    0     0     7 12597 22133 39 15 44  1  0	
 4  0      0 4478376  52384 1730808    0    0     0     1 12931 23253 40 17 43  0  0	
 2  0      0 4478508  52384 1730820    0    0     0    18 13450 22705 42 19 35  4  0	
 3  0      0 4478640  52384 1730824    0    0     0    10 12661 22299 40 15 43  2  0	
 4  0      0 4478524  52384 1730832    0    0     0     5 12873 23021 41 17 42  1  0	
 2  0      0 4478772  52384 1730840    0    0     0     6 13438 22582 42 18 39  2  0	
 1  0      0 4478008  52384 1730852    0    0     0    10 12557 22479 41 19 39  1  0	
 2  0      0 4478180  52384 1730860    0    0     0     5 12418 21502 39 16 45  1  0	
 1  0      0 4478196  52384 1730868    0    0     0    11 13333 23508 41 18 41  0  0	
 1  0      0 4478524  52384 1730876    0    0     0     9 12705 22459 40 15 41  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4478532  52384 1730884    0    0     0     7 12829 22599 39 16 43  1  0	
 0  0      0 4478284  52384 1730892    0    0     0     6 13131 21527 40 17 42  2  0	
 3  0      0 4478408  52384 1730904    0    0     0     6 12846 22335 39 15 46  0  0	
 0  0      0 4478284  52384 1730908    0    0     0    13 12684 22363 39 16 42  3  0	
 6  0      0 4478012  52384 1730916    0    0     0    18 13287 23292 40 19 38  3  0	
 2  0      0 4478408  52384 1730928    0    0     0     6 13104 23516 41 16 40  2  0	
 1  0      0 4478052  52384 1730936    0    0     0     2 12622 22856 41 16 43  0  0	
 2  0      0 4478308  52384 1730940    0    0     0     6 12969 22789 41 17 42  1  0	
 0  0      0 4478564  52384 1730948    0    0     0     5 13063 22501 39 16 44  1  0	
 1  0      0 4478564  52384 1730956    0    0     0     6 12630 21934 38 16 43  3  0	
 0  0      0 4478052  52384 1730960    0    0     0    15 13513 22730 41 18 38  2  0	
 4  0      0 4477924  52384 1730976    0    0     0    10 12806 22018 43 18 38  1  0	
 4  0      0 4478080  52384 1730976    0    0     0     6 12896 22849 40 16 43  1  0	
 2  0      0 4477848  52384 1730984    0    0     0     1 12958 22360 39 17 44  0  0	
 7  0      0 4478004  52384 1730996    0    0     0     5 13083 22596 41 16 43  0  0	
 5  1      0 4478268  52384 1731008    0    0     0     7 12646 22240 38 15 45  2  0	
 4  0      0 4477640  52384 1731012    0    0     0    17 12659 22886 39 17 41  3  0	
 2  0      0 4478408  52384 1731020    0    0     0     7 13469 22511 41 16 41  1  0	
 1  0      0 4478284  52384 1731028    0    0     0     9 12923 22717 41 16 42  1  0	
 4  0      0 4478332  52384 1731036    0    0     0     6 12770 23240 41 16 43  1  0	
 1  0      0 4478332  52384 1731044    0    0     0     7 13424 22720 42 17 39  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 4478456  52384 1731052    0    0     0     4 12836 22532 41 15 44  0  0	
 6  1      0 4478332  52384 1731060    0    0     0    18 12585 22423 38 16 45  1  0	
 5  0      0 4478208  52384 1731068    0    0     0     5 15008 25239 41 17 39  3  0	
 6  0      0 4478084  52384 1731076    0    0     0     0 12715 22502 39 16 42  2  0	
14  0      0 4430608  52384 1731084    0    0     0     5 13201 22381 40 16 44  0  0	
 8  0      0 4474560  52384 1731100    0    0     0     8 13630 23551 44 19 35  2  0	
 1  0      0 4478236  52384 1731108    0    0     0    10 12761 23002 42 18 39  2  0	
 3  0      0 4478524  52384 1731112    0    0     0    18 12623 23180 41 16 39  3  0	
 0  0      0 4477888  52384 1731120    0    0     0     8 13397 22152 40 17 40  2  0	
 5  0      0 4478036  52384 1731128    0    0     0     6 12625 22671 39 17 43  2  0	
 3  0      0 4477928  52384 1731140    0    0     0     0 12591 21962 38 15 47  0  0	
 2  0      0 4478184  52384 1731144    0    0     0     6 13399 22905 41 17 40  1  0	
 4  0      0 4478184  52384 1731152    0    0     0    13 12797 22442 41 16 42  1  0	
 2  0      0 4478060  52384 1731160    0    0     0    16 12886 22804 40 15 42  2  0	
 3  0      0 4478308  52384 1731168    0    0     0     7 13272 22332 40 16 41  2  0	
 7  1      0 4478060  52384 1731172    0    0     0     5 12905 22965 40 17 42  2  0	
 0  0      0 4478060  52384 1731184    0    0     0     1 12973 22835 39 15 45  0  0	
 0  0      0 4478184  52384 1731196    0    0     0     5 13343 22291 41 18 40  1  0	
