procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 141496 4133880 1763680    0    0    27     4   12   23 27 11 61  1  0	
 1  0      0 138440 4134136 1763720    0    0    51     0 13771 25030 44 22 34  0  0	
 5  0      0 138564 4134400 1763732    0    0    51    18 13322 24538 43 19 36  1  0	
 3  0      0 138240 4134664 1763756    0    0    51    17 13581 24240 42 17 40  0  0	
 4  0      0 138040 4134928 1763772    0    0    51    12 14081 23499 42 18 39  1  0	
 4  0      0 137668 4135192 1763788    0    0    51     7 13443 24328 42 19 39  0  0	
 0  0      0 137544 4135456 1763800    0    0    51    13 13255 23734 41 17 40  2  0	
 2  0      0 137172 4135720 1763816    0    0    51    18 13700 23841 42 19 39  0  0	
 0  0      0 136800 4135984 1763824    0    0    51    14 13312 23573 42 18 40  1  0	
 0  0      0 136676 4136240 1763836    0    0    51     2 13152 24387 41 17 42  0  0	
12  0      0 135928 4136504 1763864    0    0    51    15 13697 24080 46 21 32  0  0	
 1  0      0 135556 4136768 1763856    0    0    51    21 13572 24239 40 18 41  0  0	
 2  0      0 135324 4137036 1763868    0    0    51    18 13463 23742 40 16 42  1  0	
 3  0      0 135008 4137300 1763888    0    0    51    14 13973 23928 43 20 37  0  0	
 3  1      0 135288 4137564 1763900    0    0    51    10 13513 23900 42 18 39  1  0	
 6  0      0 134924 4137828 1763920    0    0    51    11 13377 24110 41 18 41  0  0	
 3  0      0 134692 4138084 1763940    0    0    51     7 14109 24839 43 18 38  0  0	
 4  0      0 134296 4138348 1763956    0    0    51    14 13609 24874 41 19 39  1  0	
 0  0      0 134080 4138612 1763968    0    0    51    20 13245 24126 43 17 40  0  0	
 1  0      0 133584 4138876 1763984    0    0    51    16 13871 23876 43 18 37  1  0	
 0  0      0 133956 4139140 1763996    0    0    51    13 13773 24782 43 18 39  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 133212 4139404 1764008    0    0    51     7 13524 23967 42 18 39  1  0	
 3  0      0 159128 4114072 1764020    0    0    51    11 13824 23755 42 17 40  0  0	
 0  0      0 158764 4114336 1764040    0    0    51    13 13411 24210 41 18 40  0  0	
 2  0      0 158516 4114604 1764048    0    0    51    12 13210 23894 41 17 42  0  0	
 1  0      0 154084 4114860 1764068    0    0    51    25 13866 24648 44 21 34  1  0	
