procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4536504  52920 1706600    0    0     0     1   11    4 31 12 55  1  0	
 3  0      0 4534340  52920 1706636    0    0     0     0 12753 22904 41 19 39  1  0	
 0  0      0 4533912  52920 1706624    0    0     0    10 12493 22406 39 17 44  0  0	
 0  0      0 4533944  52920 1706632    0    0     0     3 13225 23390 42 18 41  0  0	
 2  0      0 4533880  52920 1706644    0    0     0     3 13052 23646 43 16 41  1  0	
 0  0      0 4533928  52920 1706652    0    0     0     3 12294 22274 41 17 42  0  0	
 3  0      0 4533860  52920 1706660    0    0     0     3 13351 22914 40 17 41  1  0	
 4  0      0 4533720  52920 1706668    0    0     0    18 12999 23669 43 18 39  0  0	
 0  0      0 4533868  52920 1706676    0    0     0     5 12556 22355 40 17 41  2  0	
 1  0      0 4534116  52920 1706692    0    0     0     8 13162 23154 40 18 40  2  0	
 4  0      0 4534164  52920 1706708    0    0     0     6 12770 22724 41 15 44  1  0	
 1  0      0 4533924  52920 1706716    0    0     0     6 12843 22788 41 16 43  0  0	
 1  0      0 4534188  52920 1706724    0    0     0     5 13325 22711 40 17 40  2  0	
 0  0      0 4534080  52920 1706736    0    0     0    14 12732 22687 40 16 43  0  0	
 1  0      0 4534080  52920 1706744    0    0     0     0 12572 22079 38 15 47  0  0	
 7  0      0 4531372  52920 1706756    0    0     0    12 13340 23799 43 20 36  1  0	
 0  0      0 4533668  52920 1706760    0    0     0     5 13926 24680 42 17 39  2  0	
 0  0      0 4533768  52920 1706748    0    0     0     5 12625 22530 41 16 42  0  0	
 0  0      0 4533652  52920 1706760    0    0     0     6 13073 22966 42 18 39  1  0	
 2  0      0 4533800  52920 1706764    0    0     0    14 12805 22825 40 16 44  1  0	
 3  0      0 4533816  52920 1706772    0    0     0     9 12653 22630 40 16 44  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
