procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4445644  52796 1705988    0    0     0     1    6   11 33 14 53  1  0	
 1  0      0 4443784  52796 1706032    0    0     0     0 12692 22181 40 18 42  0  0	
 1  0      0 4443544  52796 1706036    0    0     0    10 12554 22054 39 15 46  0  0	
 1  0      0 4443932  52796 1706048    0    0     0     3 13132 22661 41 18 41  0  0	
 1  0      0 4443808  52796 1706056    0    0     0     3 12752 22602 40 16 42  2  0	
 0  0      0 4443808  52796 1706060    0    0     0     3 12474 22239 39 16 45  0  0	
 4  0      0 4443436  52796 1706068    0    0     0     3 12967 22075 40 17 44  0  0	
 1  0      0 4443552  52796 1706076    0    0     0    19 12414 21921 39 16 45  0  0	
 3  0      0 4443808  52796 1706084    0    0     0     7 12600 22155 38 15 46  1  0	
 5  0      0 4443036  52796 1706092    0    0     0     6 12965 22024 43 20 36  1  0	
 0  0      0 4443284  52796 1706084    0    0     0     6 12937 22617 41 16 41  1  0	
 0  0      0 4443456  52796 1706092    0    0     0     5 12830 22482 40 16 42  1  0	
 1  0      0 4443380  52796 1706100    0    0     0     5 13312 22735 40 18 41  1  0	
 4  0      0 4443404  52796 1706124    0    0     0    14 12550 22380 39 16 44  1  0	
 3  0      0 4443420  52796 1706132    0    0     0     9 12796 22678 39 15 44  1  0	
 0  0      0 4443668  52796 1706140    0    0     0    10 13106 22298 40 18 41  1  0	
 0  0      0 4443644  52796 1706148    0    0     0     6 12733 22252 39 16 44  1  0	
 1  0      0 4443180  52796 1706160    0    0     0     6 12899 22363 39 16 42  2  0	
 6  0      0 4443676  52796 1706168    0    0     0     5 12891 22342 40 17 43  0  0	
 9  0      0 4443676  52796 1706176    0    0     0    10 12848 21982 41 16 41  1  0	
 3  0      0 4443676  52796 1706184    0    0     0     9 12571 21962 39 15 45  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 4443536  52796 1706196    0    0     0     7 13121 23254 42 17 37  3  0	
 2  0      0 4443676  52796 1706204    0    0     0    10 12805 22262 39 16 45  1  0	
 5  0      0 4443304  52796 1706216    0    0     0     6 12540 22476 39 16 45  1  0	
 6  0      0 4371196  52796 1706224    0    0     0     6 13297 22829 43 20 36  1  0	
 3  0      0 4443392  52796 1706216    0    0     0    17 12938 23251 42 18 37  3  0	
 1  0      0 4443456  52796 1706224    0    0     0     6 12723 21916 39 14 46  1  0	
 1  0      0 4443024  52796 1706236    0    0     0     2 12590 22308 40 15 45  0  0	
 1  0      0 4443520  52796 1706240    0    0     0     6 13233 21980 41 18 41  1  0	
 1  0      0 4443156  52796 1706252    0    0     0     9 12491 21995 41 16 42  1  0	
 2  0      0 4443156  52796 1706256    0    0     0     6 12693 22676 40 15 44  1  0	
 2  1      0 4443404  52796 1706264    0    0     0    15 13025 22202 39 19 40  2  0	
 1  0      0 4443156  52796 1706272    0    0     0     6 12826 22283 40 15 42  2  0	
 7  0      0 4443280  52796 1706284    0    0     0     2 12722 22423 41 15 44  0  0	
 6  0      0 4443156  52796 1706288    0    0     0     4 13222 22614 41 18 41  0  0	
 1  0      0 4443148  52796 1706300    0    0     0     5 12917 23108 41 16 42  1  0	
 4  0      0 4443528  52796 1706312    0    0     0     8 12555 22321 37 16 46  1  0	
 6  0      0 4443520  52796 1706328    0    0     0    13 13343 23234 42 20 37  1  0	
 2  0      0 4443404  52796 1706332    0    0     0     8 12565 22398 40 14 44  2  0	
 3  0      0 4443296  52796 1706340    0    0     0     4 12893 22947 40 16 44  0  0	
 0  0      0 4442912  52796 1706356    0    0     0     1 13288 22789 44 21 35  0  0	
 0  0      0 4443380  52796 1706344    0    0     0     6 12908 23445 40 16 43  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 4443280  52796 1706352    0    0     0     6 12991 23087 41 15 42  2  0	
 2  0      0 4443280  52796 1706360    0    0     0    18 13120 22489 39 18 42  1  0	
 7  0      0 4443536  52796 1706368    0    0     0     7 12667 22817 40 15 44  1  0	
 1  0      0 4443172  52796 1706380    0    0     0     6 12595 23081 40 16 44  0  0	
 3  0      0 4443296  52796 1706388    0    0     0     5 13200 22760 42 18 40  1  0	
 1  0      0 4443048  52796 1706396    0    0     0     9 12480 22476 40 15 45  1  0	
 7  0      0 4443428  52796 1706408    0    0     0     1 12627 22096 38 15 46  1  0	
 6  0      0 4443396  52796 1706424    0    0     0    15 13013 22277 42 20 38  1  0	
 3  0      0 4442660  52796 1706432    0    0     0    15 12763 22667 40 16 43  1  0	
 2  0      0 4442784  52796 1706444    0    0     0     6 12631 22411 40 15 43  1  0	
 2  0      0 4443008  52796 1706452    0    0     0     6 12932 22628 40 19 39  3  0	
 1  0      0 4442776  52796 1706460    0    0     0     7 12707 23009 41 15 43  1  0	
 4  0      0 4442652  52796 1706468    0    0     0     6 12756 22983 41 16 42  1  0	
 4  0      0 4442764  52796 1706480    0    0     0    18 12852 22226 44 22 33  2  0	
 1  1      0 4442764  52796 1706464    0    0     0     0 12965 23498 40 15 43  1  0	
 0  0      0 4442960  52796 1706476    0    0     0     8 12911 22344 41 16 43  1  0	
 1  0      0 4443156  52796 1706484    0    0     0     6 13384 22267 41 18 39  2  0	
 1  0      0 4442900  52796 1706496    0    0     0     6 12829 22668 40 16 43  1  0	
 5  0      0 4442900  52796 1706504    0    0     0     6 12628 22422 41 15 43  1  0	
 0  0      0 4442992  52796 1706524    0    0     0    15 12806 23064 43 21 35  2  0	
 4  0      0 4443008  52796 1706528    0    0     0    11 12530 22459 40 15 43  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 4443032  52796 1706540    0    0     0     6 12446 22646 39 15 45  1  0	
 5  0      0 4443288  52796 1706548    0    0     0    10 13343 22560 41 18 39  1  0	
 3  0      0 4443180  52796 1706552    0    0     0     6 12905 22864 40 16 43  1  0	
 1  0      0 4443056  52796 1706560    0    0     0     1 12803 22200 38 15 47  0  0	
 2  0      0 4442932  52796 1706568    0    0     0    13 13519 23112 42 19 39  0  0	
 2  0      0 4442932  52796 1706576    0    0     0     8 12821 23184 40 16 43  1  0	
 6  0      0 4442800  52796 1706580    0    0     0     5 12639 23419 41 17 40  2  0	
 5  0      0 4442552  52796 1706592    0    0     0     6 12791 22182 40 18 42  0  0	
 2  0      0 4442656  52796 1706612    0    0     0     7 12605 22956 43 18 38  1  0	
 1  0      0 4442540  52796 1706600    0    0     0     0 12524 22077 38 14 48  0  0	
 1  0      0 4443448  52800 1706620    0    0     0    14 12799 22287 42 19 37  2  0	
 0  0      0 4442884  52800 1706628    0    0     0    12 12873 22666 39 14 45  1  0	
 1  0      0 4442768  52800 1706636    0    0     0     8 13079 23416 41 16 41  2  0	
 0  0      0 4442652  52800 1706644    0    0     0     6 13125 22265 40 17 42  1  0	
